"cds_id","gene","locus_tag","protein","protein_id"
"lcl_NZ_CP166677.1_cds_WP_231638149.1_4182",NA,"ABFT21_RS21110","nucleotidyl transferase AbiEii/AbiGii toxin family protein","WP_231638149.1"
"lcl_NZ_CP166677.1_cds_WP_197284666.1_4183",NA,"ABFT21_RS21115","helix-turn-helix domain-containing protein","WP_197284666.1"
"lcl_NZ_CP166677.1_cds_WP_054020825.1_4184","dnaQ","ABFT21_RS21125","DNA polymerase III subunit epsilon","WP_054020825.1"
"lcl_NZ_CP166677.1_cds_WP_054020826.1_4185","lgt","ABFT21_RS21130","prolipoprotein diacylglyceryl transferase","WP_054020826.1"
"lcl_NZ_CP166677.1_cds_WP_054020827.1_4186",NA,"ABFT21_RS21135","LysR family transcriptional regulator","WP_054020827.1"
"lcl_NZ_CP166677.1_cds_WP_054020828.1_4187","ilvD","ABFT21_RS21140","dihydroxy-acid dehydratase","WP_054020828.1"
"lcl_NZ_CP166677.1_cds_WP_054020829.1_4188",NA,"ABFT21_RS21145","ABC transporter transmembrane domain-containing protein","WP_054020829.1"
"lcl_NZ_CP166677.1_cds_WP_082368377.1_4189",NA,"ABFT21_RS21150","YiaD family glycine zipper/OmpA-like lipoprotein","WP_082368377.1"
"lcl_NZ_CP166677.1_cds_WP_054020830.1_4190",NA,"ABFT21_RS21155","thymidylate synthase","WP_054020830.1"
"lcl_NZ_CP166677.1_cds_WP_054020831.1_4191",NA,"ABFT21_RS21160","hypothetical protein","WP_054020831.1"
"lcl_NZ_CP166677.1_cds_WP_054020832.1_4192",NA,"ABFT21_RS21165","error-prone DNA polymerase","WP_054020832.1"
"lcl_NZ_CP166677.1_cds_WP_054020833.1_4193",NA,"ABFT21_RS21170","protein kinase domain-containing protein","WP_054020833.1"
"lcl_NZ_CP166677.1_cds_WP_054020834.1_4194",NA,"ABFT21_RS21175","polysaccharide deacetylase family protein","WP_054020834.1"
"lcl_NZ_CP166677.1_cds_WP_054020835.1_4195",NA,"ABFT21_RS21180","tetratricopeptide repeat protein","WP_054020835.1"
"lcl_NZ_CP166677.1_cds_WP_197284667.1_4196",NA,"ABFT21_RS21185","LysM peptidoglycan-binding domain-containing protein","WP_197284667.1"
"lcl_NZ_CP166677.1_cds_WP_054020837.1_4197",NA,"ABFT21_RS21190","lytic murein transglycosylase","WP_054020837.1"
"lcl_NZ_CP166677.1_cds_WP_197284668.1_4198",NA,"ABFT21_RS21195","GNAT family N-acetyltransferase","WP_197284668.1"
"lcl_NZ_CP166677.1_cds_WP_054020838.1_4199",NA,"ABFT21_RS21200","UbiD family decarboxylase","WP_054020838.1"
"lcl_NZ_CP166677.1_cds_WP_393938723.1_4200",NA,"ABFT21_RS21205","lytic transglycosylase domain-containing protein","WP_393938723.1"
"lcl_NZ_CP166677.1_cds_WP_054020840.1_4201","glyA","ABFT21_RS21210","serine hydroxymethyltransferase","WP_054020840.1"
"lcl_NZ_CP166677.1_cds_WP_054020841.1_4202","nrdR","ABFT21_RS21215","transcriptional regulator NrdR","WP_054020841.1"
"lcl_NZ_CP166677.1_cds_WP_157548994.1_4203",NA,"ABFT21_RS21220","GspH/FimT family protein","WP_157548994.1"
"lcl_NZ_CP166677.1_cds_WP_054020843.1_4204",NA,"ABFT21_RS21225","type IV pilin protein","WP_054020843.1"
"lcl_NZ_CP166677.1_cds_WP_054020844.1_4205",NA,"ABFT21_RS21230","prepilin-type N-terminal cleavage/methylation domain-containing protein","WP_054020844.1"
"lcl_NZ_CP166677.1_cds_WP_197284669.1_4206",NA,"ABFT21_RS21235","YML083C domain-containing protein","WP_197284669.1"
"lcl_NZ_CP166677.1_cds_WP_157548996.1_4207",NA,"ABFT21_RS21240","type IV pilus modification PilV family protein","WP_157548996.1"
"lcl_NZ_CP166677.1_cds_WP_054020847.1_4208","ribD","ABFT21_RS21245","bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase RibD","WP_054020847.1"
"lcl_NZ_CP166677.1_cds_WP_054020848.1_4209",NA,"ABFT21_RS21250","riboflavin synthase","WP_054020848.1"
"lcl_NZ_CP166677.1_cds_WP_054020904.1_4210","ribBA","ABFT21_RS21255","bifunctional 3,4-dihydroxy-2-butanone-4-phosphate synthase/GTP cyclohydrolase II","WP_054020904.1"
"lcl_NZ_CP166677.1_cds_WP_054020849.1_4211","ribH","ABFT21_RS21260","6,7-dimethyl-8-ribityllumazine synthase","WP_054020849.1"
"lcl_NZ_CP166677.1_cds_WP_054020850.1_4212","nusB","ABFT21_RS21265","transcription antitermination factor NusB","WP_054020850.1"
"lcl_NZ_CP166677.1_cds_WP_054020851.1_4213",NA,"ABFT21_RS21270","pyridoxal phosphate-dependent aminotransferase","WP_054020851.1"
"lcl_NZ_CP166677.1_cds_WP_054020852.1_4214",NA,"ABFT21_RS21275","YbgC/FadM family acyl-CoA thioesterase","WP_054020852.1"
"lcl_NZ_CP166677.1_cds_WP_054020853.1_4215","tolQ","ABFT21_RS21280","protein TolQ","WP_054020853.1"
"lcl_NZ_CP166677.1_cds_WP_054020905.1_4216",NA,"ABFT21_RS21285","ExbD/TolR family protein","WP_054020905.1"
"lcl_NZ_CP166677.1_cds_WP_054020854.1_4217","tolA","ABFT21_RS21290","cell envelope integrity protein TolA","WP_054020854.1"
"lcl_NZ_CP166677.1_cds_WP_054020855.1_4218",NA,"ABFT21_RS21295","PAS domain-containing protein","WP_054020855.1"
"lcl_NZ_CP166677.1_cds_WP_054020856.1_4219",NA,"ABFT21_RS21300","response regulator","WP_054020856.1"
"lcl_NZ_CP166677.1_cds_WP_054020857.1_4220",NA,"ABFT21_RS21305","response regulator","WP_054020857.1"
"lcl_NZ_CP166677.1_cds_WP_231638150.1_4221","pcp","ABFT21_RS21310","pyroglutamyl-peptidase I","WP_231638150.1"
"lcl_NZ_CP166677.1_cds_ABFT21_RS21315_4222",NA,"ABFT21_RS21315","GNAT family N-acetyltransferase",NA
"lcl_NZ_CP166677.1_cds_WP_054020906.1_4223",NA,"ABFT21_RS21320","MSMEG_1061 family FMN-dependent PPOX-type flavoprotein","WP_054020906.1"
"lcl_NZ_CP166677.1_cds_WP_054020859.1_4224",NA,"ABFT21_RS21325","hydantoinase B/oxoprolinase family protein","WP_054020859.1"
"lcl_NZ_CP166677.1_cds_WP_054020860.1_4225",NA,"ABFT21_RS21330","winged helix DNA-binding protein","WP_054020860.1"
"lcl_NZ_CP166677.1_cds_WP_054020861.1_4226",NA,"ABFT21_RS21335","TRAP transporter substrate-binding protein","WP_054020861.1"
"lcl_NZ_CP166677.1_cds_WP_054020862.1_4227",NA,"ABFT21_RS21340","TRAP transporter small permease","WP_054020862.1"
"lcl_NZ_CP166677.1_cds_WP_054020863.1_4228",NA,"ABFT21_RS21345","TRAP transporter large permease","WP_054020863.1"
"lcl_NZ_CP166677.1_cds_WP_082368366.1_4229",NA,"ABFT21_RS21350","GspE/PulE family protein","WP_082368366.1"
"lcl_NZ_CP166677.1_cds_WP_054020864.1_4230",NA,"ABFT21_RS21355","putative bifunctional diguanylate cyclase/phosphodiesterase","WP_054020864.1"
"lcl_NZ_CP166677.1_cds_WP_054020865.1_4231",NA,"ABFT21_RS21360","glycoside hydrolase family 15 protein","WP_054020865.1"
"lcl_NZ_CP166677.1_cds_WP_054020866.1_4232","treY","ABFT21_RS21365","malto-oligosyltrehalose synthase","WP_054020866.1"
"lcl_NZ_CP166677.1_cds_WP_082368367.1_4233","treZ","ABFT21_RS21370","malto-oligosyltrehalose trehalohydrolase","WP_082368367.1"
"lcl_NZ_CP166677.1_cds_WP_054020867.1_4234","glgX","ABFT21_RS21375","glycogen debranching protein GlgX","WP_054020867.1"
"lcl_NZ_CP166677.1_cds_ABFT21_RS21380_4235",NA,"ABFT21_RS21380","glucose-1-phosphate adenylyltransferase",NA
"lcl_NZ_CP166677.1_cds_WP_197284670.1_4236",NA,"ABFT21_RS21385","DUF3182 family protein","WP_197284670.1"
"lcl_NZ_CP166677.1_cds_WP_054020870.1_4237",NA,"ABFT21_RS21390","alpha/beta hydrolase family protein","WP_054020870.1"
"lcl_NZ_CP166677.1_cds_WP_082368369.1_4238",NA,"ABFT21_RS21395","endonuclease/exonuclease/phosphatase family protein","WP_082368369.1"
"lcl_NZ_CP166677.1_cds_WP_231638151.1_4239","clsB","ABFT21_RS21400","cardiolipin synthase ClsB","WP_231638151.1"
"lcl_NZ_CP166677.1_cds_WP_197284671.1_4240",NA,"ABFT21_RS21405","lysylphosphatidylglycerol synthase domain-containing protein","WP_197284671.1"
"lcl_NZ_CP166677.1_cds_WP_082368370.1_4241","pedH","ABFT21_RS21410","PQQ-dependent ethylene glycol dehydrogenase PedH","WP_082368370.1"
"lcl_NZ_CP166677.1_cds_WP_054020871.1_4242",NA,"ABFT21_RS21415","response regulator","WP_054020871.1"
"lcl_NZ_CP166677.1_cds_WP_054020872.1_4243",NA,"ABFT21_RS21420","histidine kinase","WP_054020872.1"
"lcl_NZ_CP166677.1_cds_WP_054020873.1_4244","pedE","ABFT21_RS21425","PQQ-dependent ethylene glycol dehydrogenase PedE","WP_054020873.1"
"lcl_NZ_CP166677.1_cds_WP_231638152.1_4245",NA,"ABFT21_RS21430","pentapeptide repeat-containing protein","WP_231638152.1"
"lcl_NZ_CP166677.1_cds_WP_054020875.1_4246",NA,"ABFT21_RS21435","c-type cytochrome","WP_054020875.1"
"lcl_NZ_CP166677.1_cds_WP_082368371.1_4247",NA,"ABFT21_RS21440","quinoprotein relay system zinc metallohydrolase 1","WP_082368371.1"
"lcl_NZ_CP166677.1_cds_WP_082368372.1_4248",NA,"ABFT21_RS21445","quinoprotein dehydrogenase-associated SoxYZ-like carrier","WP_082368372.1"
"lcl_NZ_CP166677.1_cds_WP_054020876.1_4249",NA,"ABFT21_RS21450","XdhC family protein","WP_054020876.1"
"lcl_NZ_CP166677.1_cds_WP_054020877.1_4250",NA,"ABFT21_RS21455","SRPBCC family protein","WP_054020877.1"
"lcl_NZ_CP166677.1_cds_WP_054020878.1_4251",NA,"ABFT21_RS21460","vWA domain-containing protein","WP_054020878.1"
"lcl_NZ_CP166677.1_cds_WP_054020879.1_4252",NA,"ABFT21_RS21465","AAA family ATPase","WP_054020879.1"
"lcl_NZ_CP166677.1_cds_WP_054020880.1_4253",NA,"ABFT21_RS21470","FAD binding domain-containing protein","WP_054020880.1"
"lcl_NZ_CP166677.1_cds_WP_054020881.1_4254",NA,"ABFT21_RS21475","xanthine dehydrogenase family protein molybdopterin-binding subunit","WP_054020881.1"
"lcl_NZ_CP166677.1_cds_WP_054020882.1_4255",NA,"ABFT21_RS21480","(2Fe-2S)-binding protein","WP_054020882.1"
"lcl_NZ_CP166677.1_cds_WP_082368373.1_4256",NA,"ABFT21_RS21485","catalase family peroxidase","WP_082368373.1"
"lcl_NZ_CP166677.1_cds_WP_054020883.1_4257",NA,"ABFT21_RS21490","hypothetical protein","WP_054020883.1"
"lcl_NZ_CP166677.1_cds_WP_054020884.1_4258",NA,"ABFT21_RS21495","cache domain-containing protein","WP_054020884.1"
"lcl_NZ_CP166677.1_cds_WP_463938185.1_4259",NA,"ABFT21_RS21500","methyl-accepting chemotaxis protein","WP_463938185.1"
"lcl_NZ_CP166677.1_cds_WP_231638108.1_4260",NA,"ABFT21_RS21505","hypothetical protein","WP_231638108.1"
"lcl_NZ_CP166677.1_cds_WP_054020107.1_4261",NA,"ABFT21_RS21510","MFS transporter","WP_054020107.1"
"lcl_NZ_CP166677.1_cds_WP_054020108.1_4262",NA,"ABFT21_RS21515","SUMF1/EgtB/PvdO family nonheme iron enzyme","WP_054020108.1"
"lcl_NZ_CP166677.1_cds_WP_054020122.1_4263","selD","ABFT21_RS21520","selenide, water dikinase SelD","WP_054020122.1"
"lcl_NZ_CP166677.1_cds_WP_054020109.1_4264",NA,"ABFT21_RS21525","response regulator transcription factor","WP_054020109.1"
"lcl_NZ_CP166677.1_cds_WP_054020110.1_4265",NA,"ABFT21_RS21530","sensor histidine kinase","WP_054020110.1"
"lcl_NZ_CP166677.1_cds_WP_054020111.1_4266","folE2","ABFT21_RS21535","GTP cyclohydrolase FolE2","WP_054020111.1"
"lcl_NZ_CP166677.1_cds_WP_054020112.1_4267","dxs","ABFT21_RS21540","1-deoxy-D-xylulose-5-phosphate synthase","WP_054020112.1"
"lcl_NZ_CP166677.1_cds_WP_054020113.1_4268",NA,"ABFT21_RS21545","polyprenyl synthetase family protein","WP_054020113.1"
"lcl_NZ_CP166677.1_cds_WP_054020114.1_4269","xseB","ABFT21_RS21550","exodeoxyribonuclease VII small subunit","WP_054020114.1"
"lcl_NZ_CP166677.1_cds_WP_054020123.1_4270",NA,"ABFT21_RS21555","aromatic ring-hydroxylating oxygenase subunit alpha","WP_054020123.1"
"lcl_NZ_CP166677.1_cds_WP_054020115.1_4271",NA,"ABFT21_RS21560","DMT family transporter","WP_054020115.1"
"lcl_NZ_CP166677.1_cds_WP_054020116.1_4272",NA,"ABFT21_RS21565","sulfurtransferase","WP_054020116.1"
"lcl_NZ_CP166677.1_cds_WP_054020117.1_4273",NA,"ABFT21_RS21570","universal stress protein","WP_054020117.1"
"lcl_NZ_CP166677.1_cds_WP_259375156.1_4274",NA,"ABFT21_RS21575","serine/threonine-protein kinase","WP_259375156.1"
"lcl_NZ_CP166677.1_cds_WP_082368243.1_4275",NA,"ABFT21_RS21580","OmpA family protein","WP_082368243.1"
"lcl_NZ_CP166677.1_cds_WP_054020119.1_4276",NA,"ABFT21_RS21585","dienelactone hydrolase family protein","WP_054020119.1"
"lcl_NZ_CP166677.1_cds_WP_054020120.1_4277","ppx","ABFT21_RS21590","exopolyphosphatase","WP_054020120.1"
"lcl_NZ_CP166677.1_cds_WP_082368244.1_4278",NA,"ABFT21_RS21595","ShlB/FhaC/HecB family hemolysin secretion/activation protein","WP_082368244.1"
"lcl_NZ_CP166677.1_cds_WP_463938184.1_4279",NA,"ABFT21_RS21600","YDG domain-containing protein","WP_463938184.1"
"lcl_NZ_CP166677.1_cds_WP_054020313.1_4280",NA,"ABFT21_RS21605","OmpA family protein","WP_054020313.1"
"lcl_NZ_CP166677.1_cds_WP_054020314.1_4281",NA,"ABFT21_RS21610","hypothetical protein","WP_054020314.1"
"lcl_NZ_CP166677.1_cds_WP_054020315.1_4282",NA,"ABFT21_RS21615","serine/threonine-protein kinase","WP_054020315.1"
"lcl_NZ_CP166677.1_cds_WP_054020316.1_4283",NA,"ABFT21_RS21620","SixA phosphatase family protein","WP_054020316.1"
"lcl_NZ_CP166677.1_cds_WP_082368278.1_4284","ppk1","ABFT21_RS21625","polyphosphate kinase 1","WP_082368278.1"
"lcl_NZ_CP166677.1_cds_WP_054020317.1_4285",NA,"ABFT21_RS21630","DsbC family protein","WP_054020317.1"
"lcl_NZ_CP166677.1_cds_WP_054020318.1_4286",NA,"ABFT21_RS21635","FAD-dependent monooxygenase","WP_054020318.1"
"lcl_NZ_CP166677.1_cds_WP_054020319.1_4287",NA,"ABFT21_RS21640","MOSC domain-containing protein","WP_054020319.1"
"lcl_NZ_CP166677.1_cds_WP_054020320.1_4288",NA,"ABFT21_RS21645","pirin family protein","WP_054020320.1"
"lcl_NZ_CP166677.1_cds_WP_054020321.1_4289","ychF","ABFT21_RS21650","redox-regulated ATPase YchF","WP_054020321.1"
"lcl_NZ_CP166677.1_cds_WP_054020322.1_4290",NA,"ABFT21_RS21655","CHASE domain-containing protein","WP_054020322.1"
"lcl_NZ_CP166677.1_cds_WP_054020323.1_4291","rpoH","ABFT21_RS21660","RNA polymerase sigma factor RpoH","WP_054020323.1"
"lcl_NZ_CP166677.1_cds_WP_054020324.1_4292",NA,"ABFT21_RS21665","hypothetical protein","WP_054020324.1"
"lcl_NZ_CP166677.1_cds_WP_439951441.1_4293",NA,"ABFT21_RS21670","SCO family protein","WP_439951441.1"
"lcl_NZ_CP166677.1_cds_WP_054020325.1_4294","cyoE","ABFT21_RS21675","heme o synthase","WP_054020325.1"
"lcl_NZ_CP166677.1_cds_WP_082368280.1_4295",NA,"ABFT21_RS21680","COX15/CtaA family protein","WP_082368280.1"
"lcl_NZ_CP166677.1_cds_WP_054020326.1_4296",NA,"ABFT21_RS21685","SCO family protein","WP_054020326.1"
"lcl_NZ_CP166677.1_cds_WP_054020327.1_4297",NA,"ABFT21_RS21690","SURF1 family protein","WP_054020327.1"
"lcl_NZ_CP166677.1_cds_WP_054020328.1_4298",NA,"ABFT21_RS21695","DUF2909 domain-containing protein","WP_054020328.1"
"lcl_NZ_CP166677.1_cds_WP_054020329.1_4299",NA,"ABFT21_RS21700","cytochrome c oxidase subunit 3","WP_054020329.1"
"lcl_NZ_CP166677.1_cds_WP_054020330.1_4300",NA,"ABFT21_RS21705","DUF2970 domain-containing protein","WP_054020330.1"
"lcl_NZ_CP166677.1_cds_WP_054020331.1_4301",NA,"ABFT21_RS21710","cytochrome c oxidase assembly protein","WP_054020331.1"
"lcl_NZ_CP166677.1_cds_WP_231638122.1_4302",NA,"ABFT21_RS21715","cytochrome oxidase small assembly protein","WP_231638122.1"
"lcl_NZ_CP166677.1_cds_WP_054020332.1_4303","ctaD","ABFT21_RS21720","cytochrome c oxidase subunit I","WP_054020332.1"
"lcl_NZ_CP166677.1_cds_WP_082368282.1_4304","coxB","ABFT21_RS21725","cytochrome c oxidase subunit II","WP_082368282.1"
"lcl_NZ_CP166677.1_cds_WP_231638123.1_4305",NA,"ABFT21_RS21730","DUF2244 domain-containing protein","WP_231638123.1"
"lcl_NZ_CP166677.1_cds_WP_054020333.1_4306",NA,"ABFT21_RS21735","class I SAM-dependent methyltransferase","WP_054020333.1"
"lcl_NZ_CP166677.1_cds_WP_197284638.1_4307",NA,"ABFT21_RS21740","ComF family protein","WP_197284638.1"
"lcl_NZ_CP166677.1_cds_WP_054020335.1_4308",NA,"ABFT21_RS21745","tRNA (cytidine(34)-2'-O)-methyltransferase","WP_054020335.1"
"lcl_NZ_CP166677.1_cds_WP_054020367.1_4309",NA,"ABFT21_RS21750","Bug family tripartite tricarboxylate transporter substrate binding protein","WP_054020367.1"
"lcl_NZ_CP166677.1_cds_WP_054020336.1_4310",NA,"ABFT21_RS21755","NAD(P)H-dependent glycerol-3-phosphate dehydrogenase","WP_054020336.1"
"lcl_NZ_CP166677.1_cds_WP_054020337.1_4311","secB","ABFT21_RS21760","protein-export chaperone SecB","WP_054020337.1"
"lcl_NZ_CP166677.1_cds_WP_054020338.1_4312","grxC","ABFT21_RS21765","glutaredoxin 3","WP_054020338.1"
"lcl_NZ_CP166677.1_cds_WP_054020339.1_4313",NA,"ABFT21_RS21770","rhodanese-like domain-containing protein","WP_054020339.1"
"lcl_NZ_CP166677.1_cds_WP_054020340.1_4314","gpmA","ABFT21_RS21775","2,3-diphosphoglycerate-dependent phosphoglycerate mutase","WP_054020340.1"
"lcl_NZ_CP166677.1_cds_WP_054020341.1_4315",NA,"ABFT21_RS21780","hypothetical protein","WP_054020341.1"
"lcl_NZ_CP166677.1_cds_WP_157548899.1_4316",NA,"ABFT21_RS21785","SRPBCC family protein","WP_157548899.1"
"lcl_NZ_CP166677.1_cds_WP_054020343.1_4317",NA,"ABFT21_RS21790","ABC transporter ATP-binding protein/permease","WP_054020343.1"
"lcl_NZ_CP166677.1_cds_WP_054020344.1_4318",NA,"ABFT21_RS21795","TonB-dependent siderophore receptor","WP_054020344.1"
"lcl_NZ_CP166677.1_cds_WP_197284639.1_4319",NA,"ABFT21_RS21800","aminotransferase-like domain-containing protein","WP_197284639.1"
"lcl_NZ_CP166677.1_cds_WP_455566771.1_4320",NA,"ABFT21_RS21805","Lrp/AsnC family transcriptional regulator","WP_455566771.1"
"lcl_NZ_CP166677.1_cds_WP_054020348.1_4321",NA,"ABFT21_RS21810","alpha/beta hydrolase family protein","WP_054020348.1"
"lcl_NZ_CP166677.1_cds_WP_054020349.1_4322",NA,"ABFT21_RS21815","hypothetical protein","WP_054020349.1"
"lcl_NZ_CP166677.1_cds_WP_054020350.1_4323","trxA","ABFT21_RS21820","thioredoxin","WP_054020350.1"
"lcl_NZ_CP166677.1_cds_WP_054020351.1_4324",NA,"ABFT21_RS21825","aminotransferase class V-fold PLP-dependent enzyme","WP_054020351.1"
"lcl_NZ_CP166677.1_cds_WP_054020352.1_4325","trxB","ABFT21_RS21830","thioredoxin-disulfide reductase","WP_054020352.1"
"lcl_NZ_CP166677.1_cds_WP_054020353.1_4326",NA,"ABFT21_RS21835","M3 family metallopeptidase","WP_054020353.1"
"lcl_NZ_CP166677.1_cds_WP_054020354.1_4327",NA,"ABFT21_RS21840","lysophospholipid acyltransferase family protein","WP_054020354.1"
"lcl_NZ_CP166677.1_cds_WP_054020355.1_4328",NA,"ABFT21_RS21845","dihydroorotase","WP_054020355.1"
"lcl_NZ_CP166677.1_cds_ABFT21_RS21850_4329",NA,"ABFT21_RS21850","aspartate carbamoyltransferase catalytic subunit",NA
"lcl_NZ_CP166677.1_cds_WP_054020357.1_4330","pyrR","ABFT21_RS21855","bifunctional pyr operon transcriptional regulator/uracil phosphoribosyltransferase PyrR","WP_054020357.1"
"lcl_NZ_CP166677.1_cds_WP_054020358.1_4331","map","ABFT21_RS21860","type I methionyl aminopeptidase","WP_054020358.1"
"lcl_NZ_CP166677.1_cds_WP_054020359.1_4332","ruvX","ABFT21_RS21865","Holliday junction resolvase RuvX","WP_054020359.1"
"lcl_NZ_CP166677.1_cds_WP_054020360.1_4333",NA,"ABFT21_RS21870","YqgE/AlgH family protein","WP_054020360.1"
"lcl_NZ_CP166677.1_cds_WP_054020361.1_4334",NA,"ABFT21_RS21875","cryptochrome/photolyase family protein","WP_054020361.1"
"lcl_NZ_CP166677.1_cds_WP_463938183.1_4335",NA,"ABFT21_RS21880","hybrid sensor histidine kinase/response regulator","WP_463938183.1"
"lcl_NZ_CP166677.1_cds_WP_054018893.1_4336",NA,"ABFT21_RS21885","methyl-accepting chemotaxis protein","WP_054018893.1"
"lcl_NZ_CP166677.1_cds_WP_054018892.1_4337",NA,"ABFT21_RS21890","chemotaxis protein CheW","WP_054018892.1"
"lcl_NZ_CP166677.1_cds_WP_054018891.1_4338",NA,"ABFT21_RS21895","response regulator","WP_054018891.1"
"lcl_NZ_CP166677.1_cds_WP_054018890.1_4339",NA,"ABFT21_RS21900","response regulator","WP_054018890.1"
"lcl_NZ_CP166677.1_cds_WP_197284568.1_4340",NA,"ABFT21_RS21905","rubredoxin","WP_197284568.1"
"lcl_NZ_CP166677.1_cds_WP_054018888.1_4341","thiD","ABFT21_RS21910","bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase","WP_054018888.1"
"lcl_NZ_CP166677.1_cds_WP_054018887.1_4342","hemL","ABFT21_RS21915","glutamate-1-semialdehyde 2,1-aminomutase","WP_054018887.1"
"lcl_NZ_CP166677.1_cds_WP_082368002.1_4343",NA,"ABFT21_RS21920","bifunctional aminoglycoside phosphotransferase/ATP-binding protein","WP_082368002.1"
"lcl_NZ_CP166677.1_cds_WP_054018886.1_4344",NA,"ABFT21_RS21925","TFIIB-type zinc ribbon-containing protein","WP_054018886.1"
"lcl_NZ_CP166677.1_cds_WP_054018895.1_4345",NA,"ABFT21_RS21930","DUF6152 family protein","WP_054018895.1"
"lcl_NZ_CP166677.1_cds_WP_054018885.1_4346","mpl","ABFT21_RS21935","UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase","WP_054018885.1"
"lcl_NZ_CP166677.1_cds_WP_054018884.1_4347",NA,"ABFT21_RS21940","YqiA/YcfP family alpha/beta fold hydrolase","WP_054018884.1"
"lcl_NZ_CP166677.1_cds_WP_054018883.1_4348",NA,"ABFT21_RS21945","PIN domain-containing protein","WP_054018883.1"
"lcl_NZ_CP166677.1_cds_WP_054018882.1_4349",NA,"ABFT21_RS21950","DUF6364 family protein","WP_054018882.1"
"lcl_NZ_CP166677.1_cds_WP_054018881.1_4350",NA,"ABFT21_RS21955","hypothetical protein","WP_054018881.1"
"lcl_NZ_CP166677.1_cds_WP_054018880.1_4351","lpxC","ABFT21_RS21960","UDP-3-O-acyl-N-acetylglucosamine deacetylase","WP_054018880.1"
"lcl_NZ_CP166677.1_cds_WP_054018879.1_4352",NA,"ABFT21_RS21965","PPC domain-containing DNA-binding protein","WP_054018879.1"
"lcl_NZ_CP166677.1_cds_WP_054018878.1_4353",NA,"ABFT21_RS21970","class IV adenylate cyclase","WP_054018878.1"
"lcl_NZ_CP166677.1_cds_WP_054018877.1_4354",NA,"ABFT21_RS21975","YbfB/YjiJ family MFS transporter","WP_054018877.1"
"lcl_NZ_CP166677.1_cds_WP_082368001.1_4355",NA,"ABFT21_RS21980","ATP-dependent DNA ligase","WP_082368001.1"
"lcl_NZ_CP166677.1_cds_WP_082368000.1_4356",NA,"ABFT21_RS21985","universal stress protein","WP_082368000.1"
"lcl_NZ_CP166677.1_cds_WP_054018876.1_4357",NA,"ABFT21_RS21990","ligase-associated DNA damage response exonuclease","WP_054018876.1"
"lcl_NZ_CP166677.1_cds_WP_082367999.1_4358","clsB","ABFT21_RS21995","cardiolipin synthase ClsB","WP_082367999.1"
"lcl_NZ_CP166677.1_cds_WP_054018875.1_4359",NA,"ABFT21_RS22000","endonuclease/exonuclease/phosphatase family protein","WP_054018875.1"
"lcl_NZ_CP166677.1_cds_WP_054019379.1_4360","nudB","ABFT21_RS22005","dihydroneopterin triphosphate diphosphatase","WP_054019379.1"
"lcl_NZ_CP166677.1_cds_WP_054019404.1_4361",NA,"ABFT21_RS22010","CsgG/HfaB family protein","WP_054019404.1"
"lcl_NZ_CP166677.1_cds_WP_054019378.1_4362","aspS","ABFT21_RS22015","aspartate--tRNA ligase","WP_054019378.1"
"lcl_NZ_CP166677.1_cds_WP_054019377.1_4363",NA,"ABFT21_RS22020","DUF502 domain-containing protein","WP_054019377.1"
"lcl_NZ_CP166677.1_cds_WP_054019376.1_4364",NA,"ABFT21_RS22025","FmdB family zinc ribbon protein","WP_054019376.1"
"lcl_NZ_CP166677.1_cds_WP_054019375.1_4365","ubiB","ABFT21_RS22030","ubiquinone biosynthesis regulatory protein kinase UbiB","WP_054019375.1"
"lcl_NZ_CP166677.1_cds_WP_054019374.1_4366",NA,"ABFT21_RS22035","hypothetical protein","WP_054019374.1"
"lcl_NZ_CP166677.1_cds_WP_054019373.1_4367","galE","ABFT21_RS22040","UDP-glucose 4-epimerase GalE","WP_054019373.1"
"lcl_NZ_CP166677.1_cds_WP_054019372.1_4368",NA,"ABFT21_RS22045","mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase","WP_054019372.1"
"lcl_NZ_CP166677.1_cds_WP_197284594.1_4369",NA,"ABFT21_RS22050","Tim44 domain-containing protein","WP_197284594.1"
"lcl_NZ_CP166677.1_cds_WP_054019370.1_4370","ubiE","ABFT21_RS22055","bifunctional demethylmenaquinone methyltransferase/2-methoxy-6-polyprenyl-1,4-benzoquinol methylase UbiE","WP_054019370.1"
"lcl_NZ_CP166677.1_cds_WP_054019369.1_4371",NA,"ABFT21_RS22060","gamma-butyrobetaine hydroxylase family protein","WP_054019369.1"
"lcl_NZ_CP166677.1_cds_WP_054019368.1_4372",NA,"ABFT21_RS22065","HIT family protein","WP_054019368.1"
"lcl_NZ_CP166677.1_cds_WP_054019367.1_4373",NA,"ABFT21_RS22070","serine hydrolase domain-containing protein","WP_054019367.1"
"lcl_NZ_CP166677.1_cds_WP_054019366.1_4374",NA,"ABFT21_RS22075","DUF3683 domain-containing protein","WP_054019366.1"
"lcl_NZ_CP166677.1_cds_WP_054019365.1_4375","ugpB","ABFT21_RS22080","sn-glycerol-3-phosphate ABC transporter substrate-binding protein UgpB","WP_054019365.1"
